SlNo,Product,URL,Environment,TCID,TestCaseDescription,Browser,Result,Investigations,TestStartedTime,TestEndedTime,Timetakentofinish,
421,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 03:04:05 AM,2020-06-12 03:04:15 AM,00:00:10,
422,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 03:04:16 AM,2020-06-12 03:04:48 AM,00:00:32,
423,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 03:04:49 AM,2020-06-12 03:05:26 AM,00:00:37,
424,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 04:04:04 AM,2020-06-12 04:04:15 AM,00:00:11,
425,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 04:04:16 AM,2020-06-12 04:04:49 AM,00:00:33,
426,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 04:04:50 AM,2020-06-12 04:05:29 AM,00:00:39,
427,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 05:04:05 AM,2020-06-12 05:04:15 AM,00:00:10,
428,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 05:04:16 AM,2020-06-12 05:04:48 AM,00:00:32,
429,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 05:04:49 AM,2020-06-12 05:05:26 AM,00:00:37,
430,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 06:04:05 AM,2020-06-12 06:04:15 AM,00:00:10,
431,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 06:04:16 AM,2020-06-12 06:04:48 AM,00:00:32,
432,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 06:04:49 AM,2020-06-12 06:05:27 AM,00:00:38,
433,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 07:04:04 AM,2020-06-12 07:04:15 AM,00:00:11,
434,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 07:04:16 AM,2020-06-12 07:04:48 AM,00:00:32,
435,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 07:04:49 AM,2020-06-12 07:05:26 AM,00:00:37,
436,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 08:04:05 AM,2020-06-12 08:04:15 AM,00:00:10,
437,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 08:04:16 AM,2020-06-12 08:04:48 AM,00:00:32,
438,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 08:04:49 AM,2020-06-12 08:05:27 AM,00:00:38,
439,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,FAILED,,2020-06-12 09:04:05 AM,2020-06-12 09:04:42 AM,00:00:37,
440,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,FAILED,,2020-06-12 09:04:43 AM,2020-06-12 09:05:49 AM,00:01:06,
441,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 09:05:50 AM,2020-06-12 09:06:37 AM,00:00:47,
442,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 10:04:04 AM,2020-06-12 10:04:15 AM,00:00:11,
443,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 10:04:16 AM,2020-06-12 10:04:47 AM,00:00:31,
444,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 10:04:48 AM,2020-06-12 10:05:26 AM,00:00:38,
445,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 11:04:05 AM,2020-06-12 11:04:15 AM,00:00:10,
446,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 11:04:16 AM,2020-06-12 11:04:48 AM,00:00:32,
447,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 11:04:49 AM,2020-06-12 11:05:27 AM,00:00:38,
448,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 12:04:05 PM,2020-06-12 12:04:15 PM,00:00:10,
449,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 12:04:16 PM,2020-06-12 12:04:48 PM,00:00:32,
450,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 12:04:49 PM,2020-06-12 12:05:27 PM,00:00:38,
451,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 01:04:05 PM,2020-06-12 01:04:15 PM,00:00:10,
452,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 01:04:16 PM,2020-06-12 01:04:48 PM,00:00:32,
453,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 01:04:49 PM,2020-06-12 01:05:27 PM,00:00:38,
454,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 02:04:05 PM,2020-06-12 02:04:15 PM,00:00:10,
455,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 02:04:17 PM,2020-06-12 02:04:48 PM,00:00:31,
456,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 02:04:49 PM,2020-06-12 02:05:27 PM,00:00:38,
457,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 03:04:04 PM,2020-06-12 03:04:15 PM,00:00:11,
458,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 03:04:16 PM,2020-06-12 03:04:47 PM,00:00:31,
459,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 03:04:48 PM,2020-06-12 03:05:26 PM,00:00:38,
460,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 04:04:05 PM,2020-06-12 04:04:15 PM,00:00:10,
461,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 04:04:17 PM,2020-06-12 04:04:48 PM,00:00:31,
462,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 04:04:49 PM,2020-06-12 04:05:27 PM,00:00:38,
463,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 05:04:05 PM,2020-06-12 05:04:15 PM,00:00:10,
464,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 05:04:17 PM,2020-06-12 05:04:48 PM,00:00:31,
465,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 05:04:49 PM,2020-06-12 05:05:27 PM,00:00:38,
466,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 06:04:05 PM,2020-06-12 06:04:15 PM,00:00:10,
467,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 06:04:17 PM,2020-06-12 06:04:48 PM,00:00:31,
468,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 06:04:49 PM,2020-06-12 06:05:27 PM,00:00:38,
469,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 07:04:05 PM,2020-06-12 07:04:15 PM,00:00:10,
470,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 07:04:16 PM,2020-06-12 07:04:48 PM,00:00:32,
471,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 07:04:49 PM,2020-06-12 07:05:27 PM,00:00:38,
472,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 08:04:05 PM,2020-06-12 08:04:15 PM,00:00:10,
473,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 08:04:17 PM,2020-06-12 08:04:48 PM,00:00:31,
474,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 08:04:49 PM,2020-06-12 08:05:32 PM,00:00:43,
475,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 09:04:05 PM,2020-06-12 09:04:16 PM,00:00:11,
476,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 09:04:17 PM,2020-06-12 09:04:49 PM,00:00:32,
477,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 09:04:50 PM,2020-06-12 09:05:29 PM,00:00:39,
478,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 10:04:06 PM,2020-06-12 10:04:17 PM,00:00:11,
479,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 10:04:18 PM,2020-06-12 10:04:50 PM,00:00:32,
480,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 10:04:52 PM,2020-06-12 10:05:31 PM,00:00:39,
481,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-12 11:04:06 PM,2020-06-12 11:04:22 PM,00:00:16,
482,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-12 11:04:24 PM,2020-06-12 11:04:55 PM,00:00:31,
483,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-12 11:04:56 PM,2020-06-12 11:05:34 PM,00:00:38,
484,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 12:04:05 AM,2020-06-13 12:04:16 AM,00:00:11,
485,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 12:04:19 AM,2020-06-13 12:04:50 AM,00:00:31,
486,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 12:04:52 AM,2020-06-13 12:05:29 AM,00:00:37,
487,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 01:04:05 AM,2020-06-13 01:04:15 AM,00:00:10,
488,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 01:04:18 AM,2020-06-13 01:04:50 AM,00:00:32,
489,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 01:04:51 AM,2020-06-13 01:05:29 AM,00:00:38,
490,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 02:04:05 AM,2020-06-13 02:04:18 AM,00:00:13,
491,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 02:04:20 AM,2020-06-13 02:04:51 AM,00:00:31,
492,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 02:04:52 AM,2020-06-13 02:05:30 AM,00:00:38,
493,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 03:04:04 AM,2020-06-13 03:04:15 AM,00:00:11,
494,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 03:04:18 AM,2020-06-13 03:04:50 AM,00:00:32,
495,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 03:04:51 AM,2020-06-13 03:05:29 AM,00:00:38,
496,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 04:04:05 AM,2020-06-13 04:04:16 AM,00:00:11,
497,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 04:04:17 AM,2020-06-13 04:04:49 AM,00:00:32,
498,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 04:04:50 AM,2020-06-13 04:05:29 AM,00:00:39,
499,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 05:04:05 AM,2020-06-13 05:04:16 AM,00:00:11,
500,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 05:04:18 AM,2020-06-13 05:04:50 AM,00:00:32,
501,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 05:04:51 AM,2020-06-13 05:05:29 AM,00:00:38,
502,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 12:26:00 PM,2020-06-13 12:26:19 PM,00:00:19,
503,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 12:26:26 PM,2020-06-13 12:27:19 PM,00:00:53,
504,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 12:27:29 PM,2020-06-13 12:28:47 PM,00:01:18,
505,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 12:59:37 PM,2020-06-13 12:59:58 PM,00:00:21,
506,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 01:00:05 PM,2020-06-13 01:00:57 PM,00:00:52,
507,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 01:01:04 PM,2020-06-13 01:02:07 PM,00:01:03,
508,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 01:05:12 PM,2020-06-13 01:05:31 PM,00:00:19,
509,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 01:05:38 PM,2020-06-13 01:06:27 PM,00:00:49,
510,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 01:06:34 PM,2020-06-13 01:07:37 PM,00:01:03,
511,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-13 01:12:41 PM,2020-06-13 01:13:01 PM,00:00:20,
512,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-13 01:13:08 PM,2020-06-13 01:14:02 PM,00:00:54,
513,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-13 01:14:10 PM,2020-06-13 01:15:13 PM,00:01:03,
514,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-18 03:36:45 PM,2020-06-18 03:37:02 PM,00:00:17,
515,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-18 03:37:32 PM,2020-06-18 03:38:21 PM,00:00:49,
516,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-18 03:39:36 PM,2020-06-18 03:40:40 PM,00:01:04,
517,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-18 03:36:45 PM,2020-06-18 03:37:02 PM,00:00:17,
518,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-18 03:37:32 PM,2020-06-18 03:38:21 PM,00:00:49,
519,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-18 03:39:36 PM,2020-06-18 03:40:40 PM,00:01:04,
520,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-18 03:36:45 PM,2020-06-18 03:37:02 PM,00:00:17,
521,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-18 03:37:32 PM,2020-06-18 03:38:21 PM,00:00:49,
522,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-18 03:39:36 PM,2020-06-18 03:40:40 PM,00:01:04,
523,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-18 03:36:45 PM,2020-06-18 03:37:02 PM,00:00:17,
524,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-18 03:37:32 PM,2020-06-18 03:38:21 PM,00:00:49,
525,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-18 03:39:36 PM,2020-06-18 03:40:40 PM,00:01:04,
526,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-18 03:36:45 PM,2020-06-18 03:37:02 PM,00:00:17,
527,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-18 03:37:32 PM,2020-06-18 03:38:21 PM,00:00:49,
528,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-18 03:39:36 PM,2020-06-18 03:40:40 PM,00:01:04,
529,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-18 03:36:45 PM,2020-06-18 03:37:02 PM,00:00:17,
530,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-18 03:37:32 PM,2020-06-18 03:38:21 PM,00:00:49,
531,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-18 03:39:36 PM,2020-06-18 03:40:40 PM,00:01:04,
532,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-23 01:59:08 AM,2020-06-23 01:59:20 AM,00:00:12,
533,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-23 01:59:27 AM,2020-06-23 02:00:03 AM,00:00:36,
534,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-23 02:00:09 AM,2020-06-23 02:00:53 AM,00:00:44,
535,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-23 02:06:20 AM,2020-06-23 02:06:32 AM,00:00:12,
536,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,FAILED,FailedStep: titile of the page should be "Dashboard | DrySign"--->ErrorDescription:  expected:<[Login] | DrySign> but was:<[Dashboard] | DrySign>	at junit.framework.Assert.assertEquals(Assert.java:100)	at junit.framework.Assert.assertEquals(Assert.java:107)	at stepDefinitions.Steps.titile_of_the_page_should_be(Steps.java:24)	at .titile of the page should be "Dashboard | DrySign"(file:FeatureFiles/DrySign.feature:15)},2020-06-23 02:06:39 AM,2020-06-23 02:07:06 AM,00:00:27,
537,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-23 02:07:12 AM,2020-06-23 02:07:54 AM,00:00:42,
538,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-23 02:29:28 AM,2020-06-23 02:29:40 AM,00:00:12,
539,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-23 02:29:46 AM,2020-06-23 02:30:22 AM,00:00:36,
540,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-23 02:30:28 AM,2020-06-23 02:31:11 AM,00:00:43,
541,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-23 02:37:56 AM,2020-06-23 02:38:08 AM,00:00:12,
542,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-23 02:38:15 AM,2020-06-23 02:38:51 AM,00:00:36,
543,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-23 02:38:57 AM,2020-06-23 02:39:40 AM,00:00:43,
544,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-23 02:43:11 AM,2020-06-23 02:43:23 AM,00:00:12,
545,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-23 02:43:30 AM,2020-06-23 02:44:05 AM,00:00:35,
546,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-23 02:44:12 AM,2020-06-23 02:44:55 AM,00:00:43,
547,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-24 12:45:46 AM,2020-06-24 12:45:58 AM,00:00:12,
548,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-24 12:46:04 AM,2020-06-24 12:46:46 AM,00:00:42,
549,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-24 12:46:52 AM,2020-06-24 12:47:35 AM,00:00:43,
550,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-24 12:45:46 AM,2020-06-24 12:45:58 AM,00:00:12,
551,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-24 12:46:04 AM,2020-06-24 12:46:46 AM,00:00:42,
552,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-24 12:46:52 AM,2020-06-24 12:47:35 AM,00:00:43,
553,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-26 07:02:05 AM,2020-06-26 07:02:18 AM,00:00:13,
554,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-26 07:02:24 AM,2020-06-26 07:03:00 AM,00:00:36,
555,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-26 07:03:06 AM,2020-06-26 07:03:49 AM,00:00:43,
556,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-26 07:37:50 AM,2020-06-26 07:38:03 AM,00:00:13,
557,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-26 07:38:09 AM,2020-06-26 07:38:44 AM,00:00:35,
558,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-26 07:38:51 AM,2020-06-26 07:39:34 AM,00:00:43,
559,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-07-14 07:16:34 AM,2020-07-14 07:16:46 AM,00:00:12,
560,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-07-14 07:16:52 AM,2020-07-14 07:17:27 AM,00:00:35,
561,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-07-14 07:17:33 AM,2020-07-14 07:18:15 AM,00:00:42,
562,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-07-14 09:43:45 AM,2020-07-14 09:43:57 AM,00:00:12,
563,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-07-14 09:44:04 AM,2020-07-14 09:44:39 AM,00:00:35,
564,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-07-14 09:44:45 AM,2020-07-14 09:45:28 AM,00:00:43,
